bank_code,Merkmal,name,post_code,city,short_name,pan,bic,Datensatz-nummer,Änderungs-kennzeichen,Bankleitzahl-löschung,Nachfolge-Bankleitzahl
57761591,2,VR Bank RheinAhrEifel,56751,Polch,VR Bank RheinAhrEifel,65140,,051754,M,0,00000000
57761591,2,VR Bank RheinAhrEifel,54550,Daun,VR Bank RheinAhrEifel,65140,,051760,M,0,00000000
57761591,2,VR Bank RheinAhrEifel,56729,Ettringen,VR Bank RheinAhrEifel,65140,,051762,M,0,00000000
57761591,2,VR Bank RheinAhrEifel,54558,Gillenfeld,VR Bank RheinAhrEifel,65140,,051763,M,0,00000000
57761591,2,VR Bank RheinAhrEifel,56736,Kottenheim,VR Bank RheinAhrEifel,65140,,051765,M,0,00000000
57761591,2,VR Bank RheinAhrEifel,56743,Mendig,VR Bank RheinAhrEifel,65140,,051766,M,0,00000000
57761591,2,VR Bank RheinAhrEifel,56766,Ulmen,VR Bank RheinAhrEifel,65140,,051769,M,0,00000000
57761591,2,VR Bank RheinAhrEifel,56727,Mayen,VR Bank RheinAhrEifel,65140,,052010,M,0,00000000
57761591,2,VR Bank RheinAhrEifel,56220,Kaltenengers,VR Bank RheinAhrEifel,65140,,056797,M,0,00000000
57761591,2,VR Bank RheinAhrEifel,56572,Weißenthurm,VR Bank RheinAhrEifel,65140,,056798,M,0,00000000
57761591,2,VR Bank RheinAhrEifel,56220,Urmitz,VR Bank RheinAhrEifel,65140,,056800,M,0,00000000
57761591,2,VR Bank RheinAhrEifel,56070,Koblenz,VR Bank RheinAhrEifel,65140,,056801,M,0,00000000
57761591,2,VR Bank RheinAhrEifel,56218,Mülheim-Kärlich,VR Bank RheinAhrEifel,65140,,057020,M,0,00000000
57761591,2,VR Bank RheinAhrEifel,56333,Winningen,VR Bank RheinAhrEifel,65140,,057021,M,0,00000000
57761591,2,VR Bank RheinAhrEifel,56170,Bendorf,VR Bank RheinAhrEifel,65140,,057402,M,0,00000000
57761591,2,VR Bank RheinAhrEifel,56564,Neuwied,VR Bank RheinAhrEifel,65140,,057403,M,0,00000000
57761591,2,VR Bank RheinAhrEifel,53474,Bad Neuenahr-Ahrweiler,VR Bank RheinAhrEifel,65140,,057404,M,0,00000000
57761591,2,VR Bank RheinAhrEifel (Gf P2),56068,Koblenz,VR Bank RheinAhrEifel,75140,,054224,M,0,00000000
57761599,1,Volksbank RheinAhrEifel (Gf GAA),56068,Koblenz,Voba RheinAhrEifel GAA,,GENODED1BNA,057432,U,0,00000000
57762265,1,Raiffeisenbank Grafschaft-Wachtberg,53501,Grafschaft,Raiffbk Grafschaft-Wachtbg,65216,GENODED1GRO,022801,U,0,00000000
57762265,2,Raiffeisenbank Grafschaft-Wachtberg,53343,Wachtberg,Raiffbk Grafschaft-Wachtbg,65216,,013910,U,0,00000000
57762265,2,Raiffeisenbank Grafschaft-Wachtberg,53424,Remagen,Raiffbk Grafschaft-Wachtbg,65216,,043754,U,0,00000000
