group,bank_code,branch_id,bank_code_new,sic_number,head_office_bank_code,bank_code_type,valid_from,sic,euro_sic,language,short_name,name,domicile_address,postal_address,post_code,city,phone,fax,phone_code,country_code,postal_account,swift
02,220,0000,,002209,230,2,20150613,1,1,1,UBS CH,UBS Switzerland AG,St. Gallerstrasse 5,Postfach,9471,Buchs SG 1,081 755 42 42,,,,*80-2-2,UBSWCHZH94P
02,220,0002,,002209,230,3,20050415,1,1,1,UBS CH,UBS Switzerland AG,Am Platz 8,Postfach,7310,Bad Ragaz,081 303 48 00,,,,*80-2-2,
02,221,0000,,002217,230,2,20150613,1,1,1,UBS CH,UBS Switzerland AG,Plazza Mauritius/Via Maistra 14,Postfach,7500,St. Moritz 1,081 837 70 00,,,,*80-2-2,UBSWCHZH75A
02,221,0001,,002217,230,3,20000407,1,1,3,UBS CH,UBS Switzerland AG,Plazza da Cumün,Casella postale,7742,Poschiavo,081 839 78 00,,,,*80-2-2,
02,222,0000,,002225,230,2,20150613,1,1,1,UBS CH,UBS Switzerland AG,Bahnhofstrasse 25,Postfach,8304,Wallisellen,044 877 95 95,,,,*80-2-2,UBSWCHZH83B
02,223,0000,,002230,230,2,20150613,1,1,1,UBS CH,UBS Switzerland AG,Bahnhofplatz 13,Postfach,8953,Dietikon 1,044 743 85 11,,,,*80-2-2,UBSWCHZH89D
02,223,0001,,002230,230,3,20050312,1,1,1,UBS CH,UBS Switzerland AG,Zürcherstrasse 18,Postfach,8952,Schlieren,044 733 41 11,,,,*80-2-2,
02,225,0000,,002256,230,2,20150613,1,1,1,UBS CH,UBS Switzerland AG,Bellevue / Theaterstrasse 20,Postfach,8098,Zürich,044 265 91 11,,,,*80-2-2,UBSWCHZH80G
02,226,0000,,002264,230,2,20150613,1,1,2,UBS CH,UBS Switzerland AG,Rue du Jura 11,Case postale,2900,Porrentruy 1,032 465 25 25,,,,*80-2-2,UBSWCHZH29A
02,226,0001,,002264,230,3,20041029,1,1,2,UBS CH,UBS Switzerland AG,Rue de l'Avenir 5,Case postale,2800,Delémont 1,032 424 53 53,,,,*80-2-2,
02,227,0000,,002272,230,2,20150613,1,1,1,UBS CH,UBS Switzerland AG,Bälliz 1,Postfach,3601,Thun,033 225 51 11,,,,*80-2-2,UBSWCHZH36A
02,227,0001,,002272,230,3,20050422,1,1,1,UBS CH,UBS Switzerland AG,Promenade 780 B,Postfach,3780,Gstaad,033 748 85 11,,,,*80-2-2,
02,227,0002,,002272,230,3,20050422,1,1,1,UBS CH,UBS Switzerland AG,Rawilstrasse 5,Postfach,3775,Lenk im Simmental,033 736 78 88,,,,*80-2-2,
02,227,0003,,002272,230,3,20050422,1,1,1,UBS CH,UBS Switzerland AG,Seestrasse 7,Postfach,3700,Spiez,033 655 93 33,,,,*80-2-2,
02,227,0004,,002272,230,3,20041029,1,1,1,UBS CH,UBS Switzerland AG,Mühlegasse 1,Postfach,3770,Zweisimmen,033 729 77 77,,,,*80-2-2,
02,228,0000,,002288,230,2,20150613,1,1,2,UBS CH,UBS Switzerland AG,Centre La Combe/R. de la Môrache 6,Case postale,1260,Nyon 1,022 363 71 11,,,,*80-2-2,UBSWCHZH12T
02,228,0001,,002288,230,3,20041029,1,1,2,UBS CH,UBS Switzerland AG,Rue du Borgeaud 2,Case postale,1196,Gland,022 354 93 11,,,,*80-2-2,
02,230,0000,,002301,230,1,20160321,1,1,1,UBS CH,UBS Switzerland AG,Bahnhofstrasse 45,Postfach,8098,Zürich,044 234 11 11,,,,80-2-2,UBSWCHZH80A
02,231,0000,,002316,230,2,20150613,1,1,1,UBS CH,UBS Switzerland AG,Bahnhofstrasse 61,Postfach,5001,Aarau,062 835 91 91,,,,*80-2-2,UBSWCHZH50A
02,231,0001,,002316,230,3,20041029,1,1,1,UBS CH,UBS Switzerland AG,Bahnhofstrasse 7,Postfach,5600,Lenzburg 1,062 885 25 25,,,,*80-2-2,
02,231,0002,,002316,230,3,20050422,1,1,1,UBS CH,UBS Switzerland AG,Schaffhauserstrasse 28,Postfach,4332,Stein AG,062 866 45 45,,,,*80-2-2,
02,231,0003,,002316,230,3,20050422,1,1,1,UBS CH,UBS Switzerland AG,Niklaus-Thut-Platz 9,Postfach,4800,Zofingen,062 745 85 00,,,,*80-2-2,
02,231,0004,,002316,230,3,20050422,1,1,1,UBS CH,UBS Switzerland AG,Bahnhofstrasse 5,Postfach,5734,Reinach AG,062 765 59 59,,,,*80-2-2,
02,232,0000,,002324,230,2,20150613,1,1,1,UBS CH,UBS Switzerland AG,Badstrasse 12,Postfach,5401,Baden,056 200 61 11,,,,*80-2-2,UBSWCHZH54A
02,232,0001,,002324,230,3,20041029,1,1,1,UBS CH,UBS Switzerland AG,Landstrasse 61,Postfach,5430,Wettingen 1,056 437 66 66,,,,*80-2-2,
02,232,0002,,002324,230,3,20060806,1,1,1,UBS CH,UBS Switzerland AG,Hauptstrasse 55,Postfach,5330,Bad Zurzach,056 269 68 11,,,,*80-2-2,
