name,post_code,city,short_name,pan,bic,bank_code
Bundesbank,10591,Berlin,BBk Berlin,20100,MARKDEF1100,011380
Postbank Ndl der Deutsche Bank,10559,Berlin,Postbank Ndl Deutsche Bank,10010,PBNKDEFFXXX,000538
OLINDA Zweigniederlassung Deutschland,10785,Berlin,"Olinda, Berlin",,QNTODEB2XXX,057478
"Revolut Bank, Zweigniederlassung Deutschland",10117,Berlin,"Revolut Bank, Berlin",,REVODEB2XXX,057801
"Treezor, Berlin",10785,Berlin,Treezor Berlin,53144,TRZODEB2XXX,057742
Klarna Bank German Branch,10115,Berlin,"Klarna Bank, Berlin",,KLRNDEBEXXX,057482
Aareal Bank,10666,Berlin,Aareal Bank,26910,AARBDE5W100,004795
Noelse Pay,10719,Berlin,"Noelse Pay, Berlin",,AFOPDEB2XXX,057532
Financiere des Paiements Electroniques NL Deutschland,10719,Berlin,FPE Deutschland,,FPEGDEB2XXX,057719
N26 Bank,10179,Berlin,N26 Bank Berlin,,NTSBDEB1XXX,056796
Swan Zweigniederlassung Deutschland,10117,Berlin,Swan Zndl Deutschland,,SWNBDEBBXXX,057732
Swan Zweigniederlassung Deutschland (Geschäftsfeld),10117,Berlin,Swan Zndl Deutschland,,SWNBDEBBXXX,057733
Holvi Payment Services Zweigniederlassung Deutschland,10967,Berlin,Holvi - Berlin,,HOLVDEB1XXX,057364
BHF-BANK,10117,Berlin,BHF-BANK Berlin,25155,BHFBDEFF100,004794
Bank für Sozialwirtschaft,10178,Berlin,Bank für Sozialwirtschaft,25013,BFSWDE33BER,000530
Bank für Sozialwirtschaft,10178,Berlin,Sozialbank Berlin,,BFSWDE33BER,056659
Bank für Sozialwirtschaft,10178,Berlin,Sozialbank Berlin,,BFSWDE33BER,056662
UniCredit Bank - HypoVereinsbank,10896,Berlin,UniCredit Bank-HypoVereinbk,22014,HYVEDEMM488,039785
UniCredit Bank - HypoVereinsbank,14776,Brandenburg an der Havel,UniCredit Bank-HypoVereinbk,22014,HYVEDEMM488,049746
UniCredit Bank - HypoVereinsbank,15711,Königs Wusterhausen,UniCredit Bank-HypoVereinbk,22014,HYVEDEMM488,049747
Berlin Hyp,10787,Berlin,Berlin Hyp,26706,BHYPDEB2XXX,037413
ABK Allgemeine Beamten Bank,10115,Berlin,ABK Bank Berlin,25686,ABKBDEB1XXX,044427
M.M. Warburg & Co (vormals Bankhaus Löbbecke),20095,Hamburg,M.M. Warburg (Löbbecke),26225,LOEBDEBBXXX,043961
North Channel Bank,55118,Mainz,North Channel Bank Mainz,26205,GENODEF1OGK,000532
Eurocity Bank,60311,Frankfurt am Main,Eurocity Bank,99084,DLGHDEB1XXX,044339
Eurocity Bank (Gf P2),60311,Frankfurt am Main,Eurocity Bank,26535,,057640
Eurocity Bank Gf GAA,60311,Frankfurt am Main,Eurocity Bank Gf GAA,,DLGHDEB1XXX,057240
EIS Einlagensicherungsbank,10178,Berlin,EIS Bank Berlin,,EIEGDEB1XXX,056711
Santander Consumer Bank,10439,Berlin,Santander Bank Berlin,29411,SCFBDE33XXX,055979
"Commerzbank, Filiale Berlin 1",10891,Berlin,Commerzbank Fil. Berlin 1,24100,COBADEBBXXX,024463
"Commerzbank, Filiale Berlin 3",10891,Berlin,Commerzbank Fil. Berlin 3,24001,COBADEBBXXX,056713
"Commerzbank, CC SP",10877,Berlin,"Commerzbank CC SP, Berlin",,COBADEFFXXX,056240
Commerzbank GF-B48,10891,Berlin,Commerzbank BER GF-B48,24148,COBADEFFXXX,055618
Commerzbank Gf 160,10891,Berlin,Commerzbank Gf 160 Berlin,24101,COBADEFFXXX,052880
Commerzbank Gf 161,10891,Berlin,Commerzbank Gf 161 Berlin,24102,COBADEFFXXX,052894
Commerzbank CC,10783,Berlin,Commerzbank CC Berlin,,COBADEFFXXX,055826
Commerzbank CC,10783,Berlin,Commerzbank CC Berlin,,COBADEFFXXX,055827
"Commerzbank, Gf Web-K",10877,Berlin,"Commerzbank Gf WK, Berlin",,COBADEFFXXX,056368
Commerzbank Service-BZ,10785,Berlin,Commerzbank Service-BZ,,COBADEFFXXX,050927
Landesbank Berlin - Berliner Sparkasse,10889,Berlin,LBB - Berliner Sparkasse,51000,BELADEBEXXX,002745
"S-Kreditpartner, Berlin",10715,Berlin,"S-Kreditpartner, Berlin",51002,SKPADEB1XXX,055974
LBS Ost Berlin,10405,Berlin,LBS Ost Berlin,,LBSODEB1BLN,046141
DekaBank,60040,Frankfurt am Main,DekaBank,,DGZFDEFFBER,004788
Pax-Bank,14005,Berlin,Pax-Bank Berlin,61335,GENODED1PA6,047622
Bank für Kirche und Diakonie - KD-Bank Gf Sonder-BLZ,10117,Berlin,KD-Bank Berlin,,GENODED1KDB,055270
Deutsche Bank,10883,Berlin,Deutsche Bank,27060,DEUTDEBBXXX,004787
Deutsche Bank Gf P2,10883,Berlin,Deutsche Bank,27703,,055917
Deutsche Bank Gf P2,10883,Berlin,Deutsche Bank,27700,,056400
Deutsche Bank,10883,Berlin,Deutsche Bank,21060,DEUTDEDBBER,049758
Deutsche Bank,10883,Berlin,Deutsche Bank,21703,,055916
Deutsche Bank,10883,Berlin,Deutsche Bank,21700,,056401
Deutsche Bank,10883,Berlin,Deutsche Bank,27701,DEUTDEBB101,053102
Deutsche Bank,10883,Berlin,Deutsche Bank,21701,DEUTDEDB101,053103
Postbank/DSL Ndl der Deutsche Bank,10117,Berlin,Postbank Ndl Deutsche Bank,21397,DEUTDEDBP30,057585
Postbank/DSL Ndl der Deutsche Bank,10117,Berlin,Postbank Ndl Deutsche Bank,27397,DEUTDEBBP30,057584
Postbank/DSL Ndl der Deutsche Bank,12105,Berlin,Postbank Ndl Deutsche Bank,27398,DEUTDEBBP31,057586
Postbank/DSL Ndl der Deutsche Bank,13125,Berlin,Postbank Ndl Deutsche Bank,27399,DEUTDEBBP32,057587
Deutsche Bank,10623,Berlin,Deutsche Bank,21848,DEUTDEDB110,055502
Postbank/DSL Ndl der Deutsche Bank,12105,Berlin,Postbank Ndl Deutsche Bank,21398,DEUTDEDBP31,057602
Postbank/DSL Ndl der Deutsche Bank,13125,Berlin,Postbank Ndl Deutsche Bank,21399,DEUTDEDBP32,057588
norisbank,10625,Berlin,norisbank,21431,NORSDE51XXX,053532
Commerzbank vormals Dresdner Bank Filiale Berlin I,10877,Berlin,Commerzbank Fil I Berlin,28100,DRESDEFF100,024465
Commerzbank vormals Dresdner Bank Zw A,10623,Berlin,Commerzbank Berlin Zw A,,DRESDEFFI26,046513
Commerzbank vormals Dresdner Bank Zw B,10623,Berlin,Commerzbank Berlin Zw B,,DRESDEFFXXX,046514
Commerzbank vormals Dresdner Bank Zw 55,10623,Berlin,Commerzbank Zw 55 Berlin,28101,DRESDEFF112,053527
Commerzbank vormals Dresdner Bank Gf ZW 57,10877,Berlin,Commerzbk ZW 57 Berlin,28103,DRESDEFF114,053520
Commerzbank vormals Dresdner Bank Gf PCC DCC-ITGK 3,10877,Berlin,Commerzbank ITKG3 Berlin,,DRESDEFFI53,054940
"Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 4",10877,Berlin,Commerzbank ITGK4 Berlin,,DRESDEFFI71,055157
"Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 5",10877,Berlin,Commerzbank ITGK5 Berlin,,DRESDEFFI72,055158
Commerzbank vormals Dresdner Bank IBLZ,10623,Berlin,Commerzbank IBLZ Berlin,,DRESDEFFXXX,044595
"Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 6",10877,Berlin,Commerzbank ITGK6 Berlin,,DRESDEFFI73,055159
Commerzbank vormals Dresdner Bank Filiale Berlin III,10877,Berlin,Commerzbk Fil III Berlin,28109,DRESDEFF199,000534
Commerzbank vormals Dresdner Bank ITGK,10877,Berlin,Commerzbank ITGK Berlin,,DRESDEFFI14,050474
Commerzbank vormals Dresdner Bank ITGK 2,10117,Berlin,Commerzbank ITGK 2 Berlin,,DRESDEFFI99,052938
Berliner Volksbank,10892,Berlin,Berliner VB Berlin,91001,BEVODEBBXXX,023299
Berliner Volksbank,15711,Königs Wusterhausen,Berliner VB Königs Wusterhs,91001,,044951
Berliner Volksbank,14979,Großbeeren,Berliner VB Großbeeren,91001,,044952
Berliner Volksbank,16816,Neuruppin,Berliner VB Neuruppin,91001,,044970
Berliner Volksbank,16515,Oranienburg,Berliner VB Oranienburg,91001,,044974
Berliner Volksbank,15344,Strausberg,Berliner VB Strausberg,91001,,045010
Berliner Volksbank,16792,Zehdenick,Berliner VB Zehdenick,91001,,045019
Berliner Volksbank,14547,Beelitz,Berliner Volksbank Beelitz,91001,,045734
Berliner Volksbank,14929,Treuenbrietzen,Berliner VB Treuenbrietzen,91001,,046045
Berliner Volksbank,15757,Halbe,Berliner VB Halbe,91001,,046047
Berliner Volksbank,16321,Bernau bei Berlin,Berliner VB Bernau,91001,,046058
Berliner Volksbank,16866,Kyritz,Berliner VB Kyritz,91001,,047009
Berliner Volksbank,16909,Wittstock/Dosse,Berliner VB Wittstock,91001,,047010
Berliner Volksbank,16775,Gransee,Berliner VB Gransee,91001,,047021
Berliner Volksbank,16761,Hennigsdorf,Berliner VB Hennigsdorf,91001,,048909
Berliner Volksbank,16225,Eberswalde,Berliner VB Eberswalde,91001,,051684
Berliner Volksbank,14612,Falkensee,Berliner VB Falkensee,91001,,056636
Berliner Volksbank (Gf P2),10892,Berlin,Berliner VB Berlin,81001,,053669
Volksbank Potsdam Zndl d Berliner Volksbank,14467,Potsdam,Volksbank Potsdam,91001,,044983
Bank für Schiffahrt (BFS) Fil d Ostfr VB Leer,13353,Berlin,Bk f Schiffahrt BFS Berlin,,GENODEF1BSB,021629
PSD Bank Berlin-Brandenburg,12154,Berlin,PSD Bank Berlin,91008,GENODEF1P01,024464
PSD Bank Berlin-Brandenburg (Gf P2),12154,Berlin,PSD Bank Berlin,81008,,057333
Westend Bank,60599,Frankfurt am Main,Westend Bank,26240,MACODEB1XXX,000536
Investitionsbank Berlin,10702,Berlin,Investitionsbank Berlin,,IBBBDEBBXXX,000537
Quirin Privatbank,10711,Berlin,Quirin Privatbank Berlin,25207,QUBKDEBBXXX,049702
Weberbank,10893,Berlin,Weberbank,51012,WELADED1WBB,013621
Isbank Fil Berlin,13353,Berlin,Isbank Berlin,29835,ISBKDEFXXXX,043850
flatexDEGIRO Bank,60312,Frankfurt am Main,"flatex Bank, Frankfurt",25185,BIWBDE33XXX,050620
Lloyds Bank,10178,Berlin,Lloyds Bank,,BOFSDEB1XXX,056412
Sydbank Filiale Berlin,24937,Flensburg,Sydbank Berlin,,SYBKDE22BER,056217
Tradegate Wertpapierhandelsbank Berlin,10711,Berlin,Tradegate Berlin,25257,TRDADEB1PBK,055068
"Tradegate Wertpapierhandelsbank, GF DIR",10711,Berlin,Tradegate GF DIR,,TRDADEBBDIR,057661
solarisBank,10997,Berlin,solarisBank,,SOBKDEBBXXX,056731
solarisBank Gf (S),10178,Berlin,solarisBank Gf (S),,SOBKDEB2XXX,057373
solarisBank Gf (PNTA),10997,Berlin,solarisBank Gf (PNTA),,PNTADEBBXXX,057650
KfW Kreditanstalt für Wiederaufbau,10117,Berlin,KfW Berlin,,KFWIDEFF100,045444
Deutsche Kreditbank Berlin,10117,Berlin,Deutsche Kreditbank Berlin,51011,BYLADEM1001,046023
Deutsche Kreditbank,09111,Chemnitz,Deutsche Kreditbk Chemnitz,51011,,049243
Deutsche Kreditbank,04109,Leipzig,Deutsche Kreditbank Leipzig,51011,,049244
Deutsche Kreditbank,01069,Dresden,Deutsche Kreditbank Dresden,51011,,049245
Deutsche Kreditbank,98527,Suhl,Deutsche Kreditbank Suhl,51011,,049246
Deutsche Kreditbank,07545,Gera,Deutsche Kreditbank Gera,51011,,049247
Deutsche Kreditbank,99084,Erfurt,Deutsche Kreditbank Erfurt,51011,,049248
Deutsche Kreditbank,06122,Halle (Saale),Deutsche Kreditbank Halle,51011,,049249
Deutsche Kreditbank,39104,Magdeburg,Deutsche Kreditbk Magdeburg,51011,,049250
Deutsche Kreditbank,03046,Cottbus,Deutsche Kreditbank Cottbus,51011,,049251
Deutsche Kreditbank,15230,Frankfurt (Oder),Deutsche Kreditbank Ff/Oder,51011,,049252
Deutsche Kreditbank,14471,Potsdam,Deutsche Kreditbank Potsdam,51011,,049253
Deutsche Kreditbank,17034,Neubrandenburg,Deutsche Kreditbk Neubrandb,51011,,049254
Deutsche Kreditbank,19053,Schwerin,Deutsche Kreditbk Schwerin,51011,,049255
Deutsche Kreditbank,18057,Rostock,Deutsche Kreditbank Rostock,51011,,049256
Deutsche Kreditbank (Gf P2),10117,Berlin,Deutsche Kreditbank (Gf P2),51100,,055781
Merck Finck A Quintet Private Bank,10719,Berlin,Merck Finck,26249,MEFIDEMM100,047484
Commerzbank Filiale Berlin 2,10891,Berlin,Commerzbank Fil. Berlin 2,24120,COBADEBB120,044795
ZVA Norddeutsche Landesbank Gf SA,30151,Hannover,ZVA NORD LB Gf SA,,NOLADE21DVS,047224
DZ BANK,10001,Berlin,DZ BANK,,GENODEFF120,044802
Deutsche Bank,14405,Potsdam,Deutsche Bank,27704,DEUTDEBB160,044796
Deutsche Bank,16259,Bad Freienwalde (Oder),Deutsche Bank,27704,DEUTDEBB172,046146
Deutsche Bank,16311,Bernau bei Berlin,Deutsche Bank,27704,DEUTDEBB122,046147
Deutsche Bank,14776,Brandenburg an der Havel,Deutsche Bank,27704,DEUTDEBB161,046148
Deutsche Bank,03046,Cottbus,Deutsche Bank,27704,DEUTDEBB180,046149
Deutsche Bank,16225,Eberswalde,Deutsche Bank,27704,DEUTDEBB173,046150
Deutsche Bank,15873,Eisenhüttenstadt,Deutsche Bank,27704,DEUTDEBB174,046151
Deutsche Bank,03232,Finsterwalde,Deutsche Bank,27704,DEUTDEBB182,046152
Deutsche Bank,15203,Frankfurt (Oder),Deutsche Bank,27704,DEUTDEBB170,046153
Deutsche Bank,15501,Fürstenwalde/Spree,Deutsche Bank,27704,DEUTDEBB175,046154
Deutsche Bank,14902,Jüterbog,Deutsche Bank,27704,DEUTDEBB187,046155
Deutsche Bank,15711,Königs Wusterhausen,Deutsche Bank,27704,DEUTDEBB121,046156
Deutsche Bank,16856,Kyritz,Deutsche Bank,27704,DEUTDEBB163,046157
Deutsche Bank,16801,Neuruppin,Deutsche Bank,27704,DEUTDEBB123,046158
Deutsche Bank,16515,Oranienburg,Deutsche Bank,27704,DEUTDEBB120,046159
Deutsche Bank,10883,Berlin,Deutsche Bank,27704,,046160
Deutsche Bank,16921,Pritzwalk,Deutsche Bank,27704,DEUTDEBB166,046161
Deutsche Bank,14712,Rathenow,Deutsche Bank,27704,DEUTDEBB167,046162
Deutsche Bank,16285,Schwedt/Oder,Deutsche Bank,27704,DEUTDEBB176,046163
Deutsche Bank,15301,Seelow,Deutsche Bank,27704,DEUTDEBB177,046164
Deutsche Bank,01968,Senftenberg,Deutsche Bank,27704,DEUTDEBB185,046165
Deutsche Bank,03130,Spremberg,Deutsche Bank,27704,DEUTDEBB186,046166
Deutsche Bank,02931,Weißwasser/O.L.,Deutsche Bank,27704,DEUTDEBB189,046167
Deutsche Bank,03161,Guben,Deutsche Bank,27704,DEUTDEBB183,046168
Deutsche Bank,16901,Wittstock/Dosse,Deutsche Bank,27704,DEUTDEBB169,046169
Deutsche Bank,15801,Zossen,Deutsche Bank,27704,DEUTDEBB124,046170
Deutsche Bank,16278,Angermünde,Deutsche Bank,27704,DEUTDEBB171,048454
Deutsche Bank,14612,Falkensee,Deutsche Bank,27704,DEUTDEBB162,048455
Deutsche Bank,03149,Forst (Lausitz),Deutsche Bank,27704,DEUTDEBB181,048456
Deutsche Bank,16761,Hennigsdorf,Deutsche Bank,27704,DEUTDEBB125,048457
Deutsche Bank,14943,Luckenwalde,Deutsche Bank,27704,DEUTDEBB188,048458
Deutsche Bank,14974,Ludwigsfelde,Deutsche Bank,27704,DEUTDEBB164,048459
Deutsche Bank,15907,Lübben (Spreewald),Deutsche Bank,27704,DEUTDEBB184,048460
Deutsche Bank,01987,Schwarzheide,Deutsche Bank,27704,DEUTDEBB126,048461
Deutsche Bank,15344,Strausberg,Deutsche Bank,27704,DEUTDEBB178,048462
Deutsche Bank,14513,Teltow,Deutsche Bank,27704,DEUTDEBB127,048463
Deutsche Bank,14542,Werder (Havel),Deutsche Bank,27704,DEUTDEBB168,048464
Deutsche Bank,14641,Nauen,Deutsche Bank,27704,DEUTDEBB165,048515
Deutsche Bank,14405,Potsdam,Deutsche Bank,21704,DEUTDEDB160,049761
Deutsche Bank,16278,Angermünde,Deutsche Bank,21704,DEUTDEDB171,049759
Deutsche Bank,16259,Bad Freienwalde (Oder),Deutsche Bank,21704,DEUTDEDB172,049760
Deutsche Bank,16311,Bernau bei Berlin,Deutsche Bank,21704,DEUTDEDB122,049762
Deutsche Bank,14776,Brandenburg an der Havel,Deutsche Bank,21704,DEUTDEDB161,049763
Deutsche Bank,03046,Cottbus,Deutsche Bank,21704,DEUTDEDB180,049764
Deutsche Bank,16225,Eberswalde,Deutsche Bank,21704,DEUTDEDB173,049765
Deutsche Bank,15873,Eisenhüttenstadt,Deutsche Bank,21704,DEUTDEDB174,049766
Deutsche Bank,14612,Falkensee,Deutsche Bank,21704,DEUTDEDB162,049767
Deutsche Bank,03232,Finsterwalde,Deutsche Bank,21704,DEUTDEDB182,049768
Deutsche Bank,03149,Forst (Lausitz),Deutsche Bank,21704,DEUTDEDB181,049769
Deutsche Bank,15203,Frankfurt (Oder),Deutsche Bank,21704,DEUTDEDB170,049770
Deutsche Bank,15501,Fürstenwalde/Spree,Deutsche Bank,21704,DEUTDEDB175,049771
Deutsche Bank,03161,Guben,Deutsche Bank,21704,DEUTDEDB183,049772
Deutsche Bank,16761,Hennigsdorf,Deutsche Bank,21704,DEUTDEDB125,049773
Deutsche Bank,14902,Jüterbog,Deutsche Bank,21704,DEUTDEDB187,049774
Deutsche Bank,15711,Königs Wusterhausen,Deutsche Bank,21704,DEUTDEDB121,049775
Deutsche Bank,16856,Kyritz,Deutsche Bank,21704,DEUTDEDB163,049776
Deutsche Bank,14943,Luckenwalde,Deutsche Bank,21704,DEUTDEDB188,049777
Deutsche Bank,14974,Ludwigsfelde,Deutsche Bank,21704,DEUTDEDB164,049778
Deutsche Bank,15907,Lübben (Spreewald),Deutsche Bank,21704,DEUTDEDB184,049779
Deutsche Bank,14641,Nauen,Deutsche Bank,21704,DEUTDEDB165,049780
Deutsche Bank,16801,Neuruppin,Deutsche Bank,21704,DEUTDEDB123,049781
Deutsche Bank,16515,Oranienburg,Deutsche Bank,21704,DEUTDEDB120,049782
Deutsche Bank,10883,Berlin,Deutsche Bank,21704,,049783
Deutsche Bank,16921,Pritzwalk,Deutsche Bank,21704,DEUTDEDB166,049784
Deutsche Bank,14712,Rathenow,Deutsche Bank,21704,DEUTDEDB167,049785
Deutsche Bank,01987,Schwarzheide,Deutsche Bank,21704,DEUTDEDB126,049786
Deutsche Bank,16285,Schwedt/Oder,Deutsche Bank,21704,DEUTDEDB176,049787
Deutsche Bank,15301,Seelow,Deutsche Bank,21704,DEUTDEDB177,049788
Deutsche Bank,01968,Senftenberg,Deutsche Bank,21704,DEUTDEDB185,049789
Deutsche Bank,03130,Spremberg,Deutsche Bank,21704,DEUTDEDB186,049790
Deutsche Bank,15344,Strausberg,Deutsche Bank,21704,DEUTDEDB178,049791
Deutsche Bank,14513,Teltow,Deutsche Bank,21704,DEUTDEDB127,049792
Deutsche Bank,02931,Weißwasser/O.L.,Deutsche Bank,21704,DEUTDEDB189,049793
Deutsche Bank,14542,Werder (Havel),Deutsche Bank,21704,DEUTDEDB168,049794
Deutsche Bank,16901,Wittstock/Dosse,Deutsche Bank,21704,DEUTDEDB169,049795
Deutsche Bank,15801,Zossen,Deutsche Bank,21704,DEUTDEDB124,049796
Deutsche Bank,14405,Potsdam,Deutsche Bank,,DEUTDEFFVAC,056253
Deutsche Bank,14405,Potsdam,Deutsche Bank,,DEUTDEDBPAL,056254
Postbank/DSL Ndl der Deutsche Bank,03046,Cottbus,Postbank Ndl Deutsche Bank,27400,DEUTDEBBP33,057589
Postbank/DSL Ndl der Deutsche Bank,03046,Cottbus,Postbank Ndl Deutsche Bank,21400,DEUTDEDBP33,057590
Commerzbank vormals Dresdner Bank Filiale Berlin II,10623,Berlin,Commerzbank Fil II Berlin,28120,DRESDEFF120,044797
Sparda-Bank Berlin,10117,Berlin,Sparda-Bank Berlin,91055,GENODEF1S10,045032
Sparda-Bank Berlin,03046,Cottbus,Sparda-Bank Berlin,91055,,045025
Sparda-Bank Berlin,01099,Dresden,Sparda-Bank Berlin,91055,,045026
Sparda-Bank Berlin,99084,Erfurt,Sparda-Bank Berlin,91055,,045027
Sparda-Bank Berlin,17489,Greifswald,Sparda-Bank Berlin,91055,,045028
Sparda-Bank Berlin,06112,Halle (Saale),Sparda-Bank Berlin,91055,,045029
Sparda-Bank Berlin,39104,Magdeburg,Sparda-Bank Berlin,91055,,045030
Sparda-Bank Berlin,19053,Schwerin,Sparda-Bank Berlin,91055,,045031
Sparda-Bank Berlin,04001,Leipzig,Sparda-Bank Berlin,91055,,048390
Sparda-Bank Berlin,06449,Aschersleben,Sparda-Bank Berlin,91055,,049483
Sparda-Bank Berlin,02625,Bautzen,Sparda-Bank Berlin,91055,,049484
Sparda-Bank Berlin,18528,Bergen auf Rügen,Sparda-Bank Berlin,91055,,049485
Sparda-Bank Berlin,06406,Bernburg (Saale),Sparda-Bank Berlin,91055,,049486
Sparda-Bank Berlin,14774,Brandenburg an der Havel,Sparda-Bank Berlin,91055,,049487
Sparda-Bank Berlin,09111,Chemnitz,Sparda-Bank Berlin,91055,,049488
Sparda-Bank Berlin,04509,Delitzsch,Sparda-Bank Berlin,91055,,049489
Sparda-Bank Berlin,06849,Dessau-Roßlau,Sparda-Bank Berlin,91055,,049490
Sparda-Bank Berlin,99817,Eisenach,Sparda-Bank Berlin,91055,,049491
Sparda-Bank Berlin,04895,Falkenberg,Sparda-Bank Berlin,91055,,049492
Sparda-Bank Berlin,15230,Frankfurt (Oder),Sparda-Bank Berlin,91055,,049493
Sparda-Bank Berlin,07545,Gera,Sparda-Bank Berlin,91055,,049494
Sparda-Bank Berlin,02826,Görlitz,Sparda-Bank Berlin,91055,,049495
Sparda-Bank Berlin,99867,Gotha,Sparda-Bank Berlin,91055,,049496
Sparda-Bank Berlin,18273,Güstrow,Sparda-Bank Berlin,91055,,049497
Sparda-Bank Berlin,38820,Halberstadt,Sparda-Bank Berlin,91055,,049498
Sparda-Bank Berlin,06886,Lutherstadt Wittenberg,Sparda-Bank Berlin,91055,,049499
Sparda-Bank Berlin,98617,Meiningen,Sparda-Bank Berlin,91055,,049500
Sparda-Bank Berlin,99724,Nordhausen,Sparda-Bank Berlin,91055,,049501
Sparda-Bank Berlin,01796,Pirna,Sparda-Bank Berlin,91055,,049502
Sparda-Bank Berlin,14473,Potsdam,Sparda-Bank Berlin,91055,,049503
Sparda-Bank Berlin,01587,Riesa,Sparda-Bank Berlin,91055,,049504
Sparda-Bank Berlin,18055,Rostock,Sparda-Bank Berlin,91055,,049505
Sparda-Bank Berlin,07318,Saalfeld/Saale,Sparda-Bank Berlin,91055,,049506
Sparda-Bank Berlin,39576,Stendal,Sparda-Bank Berlin,91055,,049507
Sparda-Bank Berlin,18437,Stralsund,Sparda-Bank Berlin,91055,,049508
Sparda-Bank Berlin,99423,Weimar,Sparda-Bank Berlin,91055,,049509
Sparda-Bank Berlin,06667,Weißenfels,Sparda-Bank Berlin,91055,,049510
Sparda-Bank Berlin,19322,Wittenberge,Sparda-Bank Berlin,91055,,049511
Sparda-Bank Berlin,08056,Zwickau,Sparda-Bank Berlin,91055,,049512
Sparda-Bank Berlin,23966,Wismar,Sparda-Bank Berlin,91055,,050525
Sparda-Bank Berlin,17033,Neubrandenburg,Sparda-Bank Berlin,91055,,050526
Sparda-Bank Berlin (Gf P2),10407,Berlin,Sparda-Bank Berlin,81055,,057334
Bundesbank,18004,Rostock,BBk Rostock,20130,MARKDEF1130,044864
Commerzbank,18006,Rostock,Commerzbank Rostock,24130,COBADEFFXXX,044861
Commerzbank,23951,Wismar,Commerzbank Wismar,24130,,046018
Commerzbank,18184,Roggentin,Commerzbank Roggentin,24130,,049525
Ostseesparkasse Rostock,18004,Rostock,Ostseesparkasse Rostock,51399,NOLADE21ROS,048659
Ostseesparkasse Rostock,18242,Bützow,Ostseesparkasse Rostock,51399,,045254
Ostseesparkasse Rostock,18262,Güstrow,Ostseesparkasse Rostock,51399,,045255
Ostseesparkasse Rostock,17161,Teterow,Ostseesparkasse Rostock,51399,,045264
Ostseesparkasse Rostock,18201,Bad Doberan,Ostseesparkasse Rostock,51399,,045789
Sparkasse Vorpommern auf Rügen,18525,Bergen auf Rügen,Spk Vorpommern auf Rügen,51303,NOLADE21RUE,045242
Volksbank Wolgast -alt-,17438,Wolgast,Volksbank Wolgast -alt-,61260,GENODEF1WOG,045675
Volksbank Wolgast (Gf P2),17438,Wolgast,Volksbank Wolgast,71260,,053670
Volks- und Raiffeisenbank,23952,Wismar,VB u Raiffbk,61286,GENODEF1HWI,045680
Volks- und Raiffeisenbank,18225,"Kühlungsborn, Ostseebad",VB u Raiffbk,61286,,045017
Volks- und Raiffeisenbank,23923,Schönberg,VB u Raiffbk,61286,,046578
Volks- und Raiffeisenbank,23948,Klütz,VB u Raiffbk,61286,,046632
Volks- und Raiffeisenbank,18233,Neubukow,VB u Raiffbk,61286,,046636
Volks- und Raiffeisenbank,23932,Grevesmühlen,VB u Raiffbk,61286,,049751
Volks- und Raiffeisenbank,23996,Bobitz,VB u Raiffbk,61286,,050955
Volks- und Raiffeisenbank,23974,Neuburg,VB u Raiffbk,61286,,050956
Volks- und Raiffeisenbank,23992,Neukloster,VB u Raiffbk,61286,,050957
Volks- und Raiffeisenbank,23999,Insel Poel,VB u Raiffbk,61286,,051126
Volks- und Raiffeisenbank,19205,Gadebusch,VB u Raiffbk,61286,,052785
Volks- und Raiffeisenbank,19209,Lützow,VB u Raiffbk,61286,,053064
Volks- und Raiffeisenbank,19217,Rehna,VB u Raiffbk,61286,,053065
Volks- und Raiffeisenbank (Gf P2),23952,Wismar,VB u Raiffbk,71286,,053671
Raiffeisenbank Wismar -alt-,23952,Wismar,VB u Raiffbk -alt-,61315,GENODEF1HWR,045681
Raiffeisenbank,18209,Bad Doberan,Raiffeisenbank Bad Doberan,61288,GENODEF1DBR,045683
Raiffeisenbank (Gf P2),18202,Bad Doberan,Raiffeisenbank Bad Doberan,71288,,053672
Deutsche Bank,18002,Rostock,Deutsche Bank,27707,DEUTDEBRXXX,044862
Deutsche Bank,17381,Anklam,Deutsche Bank,27707,DEUTDEBB151,046171
Deutsche Bank,18201,Bad Doberan,Deutsche Bank,27707,DEUTDEBR131,046172
Deutsche Bank,18521,Bergen auf Rügen,Deutsche Bank,27707,DEUTDEBR133,046173
Deutsche Bank,18241,Bützow,Deutsche Bank,27707,DEUTDEBB130,046174
Deutsche Bank,17101,"Demmin, Hansestadt",Deutsche Bank,27707,DEUTDEBB131,046175
Deutsche Bank,17462,Greifswald,Deutsche Bank,27707,DEUTDEBR134,046176
Deutsche Bank,23932,Grevesmühlen,Deutsche Bank,27707,,046177
Deutsche Bank,18502,Grimmen,Deutsche Bank,27707,DEUTDEBR135,046178
Deutsche Bank,18262,Güstrow,Deutsche Bank,27707,DEUTDEBB141,046179
Deutsche Bank,19230,Hagenow,Deutsche Bank,27707,DEUTDEBB142,046180
Deutsche Bank,19281,Ludwigslust,Deutsche Bank,27707,DEUTDEBB143,046181
Deutsche Bank,19381,Lübz,Deutsche Bank,27707,DEUTDEBB144,046182
Deutsche Bank,17132,Malchin,Deutsche Bank,27707,DEUTDEBB152,046183
